problemType,algorithmType,numberOfStepRepetitions,problemSize,lambda,beginFitness,endFitness,probabilityEnumerationStrategy,fitness,bestProbability,optimizationTime
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.1,10000.0000000011
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,99,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.1,16249.999999996126
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,98,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.1,19134.615384609482
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,97,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.1,19982.287449387604
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,96,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.1,20479.05323653487
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,95,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.1,20897.520242910145
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,94,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.1,21120.87630717164
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,93,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.1,21257.278156743192
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,92,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.1,21357.08654050892
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.2,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,91,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.1,21419.805969100376
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.2,33857.086540522054
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,90,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.1,21460.766913650485
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.2,46419.80596905395
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,89,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.1,21491.42826902128
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.2,29794.10024698159
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,88,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.1,21511.616232971774
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.2,26031.308022590467
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,87,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.1,21530.28714001516
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.2,24280.379425720283
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,86,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.1,21541.99733112229
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.2,22661.21724350032
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,85,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.1,21551.159991692984
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.2,22428.9781272959
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.30000000000000004,71541.99733105075
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,84,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.1,21558.583373928814
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.2,22046.48501643751
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.30000000000000004,71541.99733105075
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,83,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.1,21564.27302102604
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.2,21863.621198649525
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.30000000000000004,71558.58337385725
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,82,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.1,21568.72467229626
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.2,21741.047492643327
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.30000000000000004,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,81,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.1,21572.292680781702
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.2,21695.92771198496
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.30000000000000004,26112.447890395786
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,80,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.1,21575.243456366912
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.2,21650.72254482257
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.30000000000000004,24511.68613057808
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.4,71564.27302095447
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,79,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.1,21577.631420042504
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.2,21624.950160527358
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.30000000000000004,22925.48412058176
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,78,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.1,21579.521678205052
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.2,21614.52322869351
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.30000000000000004,22617.60003063217
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.4,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,77,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.1,21581.202949715767
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.2,21605.458851027153
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.30000000000000004,22032.740050327546
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.4,27828.750618196445
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.5,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.6,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.7,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.7999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,76,0.8999999999999999,1.7976931348623157E308
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,75,0.1,21582.544522408924
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,75,0.2,21599.018140745895
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,75,0.30000000000000004,21873.93868129383
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,75,0.4,31578.96049081268
ONE_MAX,OnePlusLambda,50000,100,16,50,100,IterativeStrategy,75,0.5,1.7976931348623157E308
